,ADA-BTC,ALGO-BTC,ATOM-BTC,BAT-BTC,BCH-BTC,BNB-BTC,BTC-USDT,DASH-BTC,DGB-BTC,DOGE-BTC,EOS-BTC,ETC-BTC,ETH-BTC,FTT-BTC,IOTA-BTC,LINK-BTC,LRC-BTC,LTC-BTC,MKR-BTC,NEO-BTC,OMG-BTC,ONT-BTC,QTUM-BTC,REN-BTC,THETA-BTC,TRX-BTC,VET-BTC,WAVES-BTC,XEM-BTC,XLM-BTC,XMR-BTC,XRP-BTC,XTZ-BTC,ZEC-BTC,ZRX-BTC
0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,-0.009064865838200674,-0.01442641444018515,-0.011483870967741838,-0.011590909090909096,-0.005603212462825058,-0.0076833479969437455,-0.0064987863072109575,-0.007248649803881978,-0.01526717557251911,-0.03703703703703709,-0.007107802124994711,-0.007684918347742542,-0.005239201706470498,-0.0036532713384258564,-0.008874617499344328,-0.013170779653540576,-0.013578274760383424,-0.006298740251949542,-0.010330170403890327,-0.008606967782158937,-0.010791366906474864,-0.011223344556677839,-0.009302325581395321,-0.01621621621621616,-0.013367991088005904,-0.011194029850746356,-0.021276595744680882,-0.010237510237510294,-0.008872285780994638,-0.00867052023121384,-0.007168023326448836,-0.006406775980019486,-0.011291114383897738,-0.00803284874707485,-0.011996618096927977
2,-0.005484460694698434,-0.008533116619260483,-0.0067930936880837844,-0.006597938144329851,-0.0031960090563883715,-0.004237726098191286,-0.003287816149838663,-0.004159749507537213,-0.009259259259259411,-0.0357142857142857,-0.003915981260879509,-0.004387242203091543,-0.002932283425494431,-0.0020618556701031965,-0.005045779158613417,-0.0074944643161301006,-0.007843137254901933,-0.003665906162024201,-0.005987509063072482,-0.004985754985755153,-0.0066334991708125735,-0.00669344042838016,-0.005473828258638513,-0.009488051842330487,-0.00782608695652176,-0.006451612903225712,-0.015151515151515138,-0.005667601249820287,-0.005136986301369828,-0.005059021922428353,-0.004140601996687532,-0.0036088054853843365,-0.0065314541079406485,-0.004670278348589574,-0.006656580937972656
3,-0.003530450132391838,-0.005154639175257714,-0.004048582995951344,-0.0038527397260273988,-0.0019066750161793153,-0.002402433681663085,-0.001802187591446036,-0.002480412573567036,-0.007299270072992803,-0.0344827586206895,-0.002293349287067481,-0.0026631158455392434,-0.001700854354605119,-0.001280409731113763,-0.0029799914857386867,-0.004411388478092302,-0.004926108374384175,-0.002201948609446657,-0.0035084968345127088,-0.003082342580361108,-0.004098360655737765,-0.004115226337448541,-0.0035377358490567,-0.005805515239477699,-0.004743833017077925,-0.0052631578947368585,-0.010752688172043001,-0.003348039074373819,-0.0033222591362127574,-0.0031249999999999334,-0.0024411370974092295,-0.002205419029615574,-0.003949447077409296,-0.0028262243873415915,-0.0038541357841681556
4,-0.002044989775051076,-0.0027472527472527375,-0.002064693737095613,-0.0018808777429467627,-0.0009642457669610804,-0.0011357769747032398,-0.0007809140276153761,-0.0012835703001579102,-0.004424778761061954,-0.033333333333333326,-0.00117068602200876,-0.001489572989076704,-0.0008262350899641336,-0.0006605019815058011,-0.0014615609470914892,-0.00220809635329533,-0.002777777777777879,-0.0011406844106464087,-0.001591812049567864,-0.0017129153819802623,-0.0025673940949936247,-0.0023907103825134834,-0.0019762845849801147,-0.003278688524590123,-0.0025188916876573986,-0.0035211267605633756,-0.008264462809917439,-0.0017462165308500532,-0.002016129032258007,-0.00168123739071957,-0.0012141816415734974,-0.0011773940345369827,-0.0020711080428029716,-0.0015055612317335324,-0.0019380846568319533
5,-0.0008375209380234727,-0.0006598845222044458,-0.00035001750087471084,-0.00031908104658584513,-0.00015757647438285893,-0.00010962207796888501,8.101636579116445e-05,-0.00026249179713133675,-0.003663003663003761,-0.023809523809523836,-0.000280229788426678,-0.00045454545454548523,-9.119927040590614e-05,-0.0002687449610317971,-0.00022890628576666128,-0.0003486048061192015,-0.0007727975270479526,-0.00022143489813997164,6.667111140745696e-05,-0.0006671114076051143,-0.0009596928982725794,-0.0009871668311943749,-0.000560852495793962,-0.0013218770654329637,-0.0007473841554559435,-0.0016949152542372614,-0.004608294930875556,-0.000499085010813749,-0.0006877579092159358,-0.0006802721088435826,-0.00014734593161030984,-0.00037216226274650044,-0.0004957858205255627,-0.00038885918436770694,-0.0003830439223697635
6,0.0017825311942960553,0.0018993352326684755,0.0016025641025640969,0.001685934489402685,0.0006924520419477444,0.0009710743952537907,0.0009413913823608252,0.00080514615544654,0.004385964912280604,0.034482758620689724,0.0008424477734749402,0.0010570824524311906,0.0006808324255567655,0.0006416426050690482,0.0013064616973932368,0.0015915119363394455,0.0024330900243310083,0.0008111520128649472,0.0016732762005062355,0.0011235955056179137,0.00198019801980176,0.0016025641025640969,0.0016542597187756414,0.002389486260453877,0.0019281444842844029,0.0029673590504450953,0.0077821011673153695,0.0012357120790855713,0.001833740831295838,0.0013556258472662286,0.0009854457246818438,0.0007621951219511924,0.0016611295681063787,0.0008465513682017542,0.001415970430177186
7,0.0031098364636832905,0.004375303840544298,0.003605602551657104,0.0035984303270196576,0.0016500181119331505,0.002260785469870897,0.0019713960959955256,0.0020006094164352743,0.004926108374384119,0.03571428571428559,0.0019866845390528643,0.002309468822170757,0.0015673028729613404,0.0012610340479195514,0.0027595269382394427,0.0038599630675513227,0.004255319148936065,0.0018771318737719662,0.003484829133901357,0.0025644608599524575,0.003671970624234966,0.0034364261168384758,0.0031007751937983663,0.005253940455341555,0.0041074957496988525,0.00512820512820511,0.010526315789473495,0.002844950213371167,0.0027752081406104967,0.002702702702702453,0.0022179445724048513,0.0017696239227826633,0.003604193971166625,0.002178649237472685,0.00332310838445804
8,0.005088361043836013,0.0077868852459015425,0.006379585326953707,0.0063131313131314926,0.0029719883852351364,0.004146032477254202,0.0034683422337139723,0.0036735222191672363,0.009259259259259078,0.03703703703703698,0.003661971830986266,0.004092769440654865,0.002835487213043386,0.0020213687554144766,0.004800529713623547,0.007164206347395563,0.007246376811594235,0.0033795201081447067,0.005844660194174844,0.0045632333767926525,0.006134969325153561,0.006038647342995196,0.004995458673932918,0.009076348104644971,0.007339449541284404,0.006172839506172867,0.01526717557251911,0.00519031141868509,0.004716981132075526,0.004578507945057986,0.003938228804013332,0.003154154423036731,0.0064102564102563875,0.004095230465081822,0.006168207426862441
9,0.00902527075812265,0.01412429378531077,0.011373578302712017,0.011432228098214346,0.005513268195053892,0.007846370626413853,0.0065821479594898695,0.006913798175934183,0.015151515151515138,0.03846153846153855,0.007120484641783163,0.007598963098858505,0.0052953835372468346,0.0036205886432963824,0.008540654040833352,0.013614170381048063,0.013227513227513255,0.006191950464396134,0.010138238088005205,0.008493518104604192,0.010532150776053406,0.011091271334889347,0.008687065185561726,0.016666666666666607,0.013513513513513598,0.011235955056179803,0.02205882352941191,0.009918068132815839,0.008620689655172598,0.0086137281292058,0.007117437722419906,0.0060340098738342896,0.011811023622047223,0.007853403141361293,0.011707051456575135
