,ADA-BNB,ADA-BTC,ADA-ETH,ADA-USDT,BNB-BTC,BNB-ETH,BNB-USDT,BTC-USDT,EOS-BNB,EOS-BTC,EOS-ETH,EOS-USDT,ETH-BTC,ETH-USDT,LINK-BTC,LINK-ETH,LTC-BNB,LTC-BTC,LTC-ETH,LTC-USDT,TRX-BTC,TRX-ETH,XLM-BNB,XLM-BTC,XLM-ETH,XLM-USDT,XMR-BTC,XMR-ETH,XRP-BNB,XRP-BTC,XRP-ETH,XRP-USDT
0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
1,-0.007543103448275912,-0.0056022408963586345,-0.005186905299501943,-0.006614354067373263,-0.004519922657060027,-0.0050480723909138705,-0.005757449013448934,-0.0036886929319525307,-0.006951871657754016,-0.004061329548414893,-0.00404630501542812,-0.00571179755135498,-0.003053154564481486,-0.005067005134714186,-0.008037969847058124,-0.009326928763913079,-0.0067682144070017195,-0.003864075463120731,-0.00422952206400673,-0.005698005698005715,-0.007168458781361964,-0.0048291405604964695,-0.007843137254902044,-0.005174035747883332,-0.0055444141669577,-0.006228373702422213,-0.004216589645257618,-0.005981514179601244,-0.00648298217179899,-0.003961965134706813,-0.004233535266437371,-0.0051955315658120055
2,-0.005464480874316946,-0.0040322580645161255,-0.003721071091348338,-0.004488102294859964,-0.0029548555659606236,-0.003426280696279904,-0.003821509394014688,-0.0023924877350018693,-0.004931506849314993,-0.0027159152634438355,-0.0027858221368392113,-0.0037843579869871746,-0.0020245039334124025,-0.0033564864059209107,-0.005366487639104988,-0.006472427459024543,-0.0050268096514746174,-0.0026272528693724205,-0.003014937159520392,-0.003844510892780817,-0.005847953216374213,-0.0032737677195482594,-0.005725833614011577,-0.003529411764705892,-0.003950800617793559,-0.004121537429310651,-0.002864972595914339,-0.004382662355157552,-0.004548211036992211,-0.0026445032111823696,-0.0029629592271781745,-0.003419295795248578
3,-0.0042194092827004814,-0.0032017075773745907,-0.0028932573576085363,-0.003348087289431034,-0.0021527567316802607,-0.0025805263370322963,-0.00281038030731876,-0.0017629760766612267,-0.0038113387327298742,-0.00202865646310123,-0.0021188236291210805,-0.002797119561982919,-0.0014970499310181795,-0.002482845463052197,-0.003952052483258739,-0.004895714481604881,-0.0037105751391465214,-0.001964636542239795,-0.0023494294435416614,-0.002862766147790352,-0.005494505494505475,-0.002455952033123404,-0.0045305177460373035,-0.0027548209366391463,-0.003077017572314955,-0.0030259611758015337,-0.002154461951956676,-0.0034536298096117797,-0.003481288076588318,-0.00195694716242667,-0.002283601565898352,-0.00250318651779492
4,-0.0035335689045938867,-0.0023130300693908756,-0.002309107275644817,-0.002585315408479949,-0.001623200952277748,-0.001997398886325441,-0.0021336268207710505,-0.0013459007128676869,-0.0030358227079538835,-0.0015689114168476737,-0.00166270783847966,-0.0021333932180551685,-0.0011452030870954476,-0.0018938577358472038,-0.0030051670086619566,-0.0037961869057766993,-0.003087478559176682,-0.0015151515151514694,-0.0018743536711479658,-0.0022140221402214832,-0.005208333333333259,-0.0018953752843063887,-0.0036009320059310346,-0.002219263204615962,-0.00246325869751729,-0.002293577981651529,-0.0016707507239921426,-0.002767416676693446,-0.0027472527472528485,-0.001522912917070629,-0.0018060103760909605,-0.001895579321803953
5,-0.0028846153846152633,-0.0020862308762169546,-0.0018434172103339586,-0.0020023516462621127,-0.0012288296196401316,-0.00155351172451057,-0.0016229874845258563,-0.0010266244394728785,-0.0024143411895806988,-0.0012097749818533732,-0.0012934247409647215,-0.0016298116298117948,-0.0008822846528905304,-0.001451309162794262,-0.002290985759695996,-0.002931358085422664,-0.0025839793281653423,-0.0011854725724755877,-0.0014848533359343996,-0.0017091930167256741,-0.004761904761904967,-0.0014672535680938514,-0.002925718108018782,-0.0016268980477222028,-0.0019439603163964314,-0.001752541184717793,-0.001292360712234375,-0.0021625643504431524,-0.002211690363348895,-0.001184132622853773,-0.001417688272733364,-0.0014416963961088602
6,-0.002358490566037874,-0.0018921475875117721,-0.001423327055055434,-0.001524058349662405,-0.0009155914598213632,-0.0011750337094534212,-0.0012099678439735583,-0.0007657247208223692,-0.0019023462270132407,-0.0009537434430136882,-0.0009906988618410772,-0.001226065633641138,-0.0006695731099686017,-0.0010918114143920743,-0.001713819555850036,-0.00217894543010797,-0.0020283975659228792,-0.0009014810045073762,-0.0011390757214145841,-0.0013059092393078453,-0.003780718336483857,-0.0011206051267684813,-0.0023640661938534647,-0.0014184397163120588,-0.0014946388181854332,-0.001315500986625806,-0.0009911457645037647,-0.0016138376914499588,-0.0017064846416381396,-0.000945179584120992,-0.0010832999510969497,-0.0010782852841556777
7,-0.0018050541516246854,-0.0016722408026756952,-0.0010364412752373875,-0.0011191265726814268,-0.0006539650053994648,-0.0008373385756508034,-0.0008602641714446686,-0.0005421310308188598,-0.0014134275618373437,-0.0007267441860465684,-0.0007254857565970707,-0.0008816787162758688,-0.0004868549172345471,-0.0007825471276124984,-0.001225254934881681,-0.0015046006056980143,-0.0017574692442883233,-0.0006714789323484238,-0.0008285004142502717,-0.000954084675014899,-0.002949852507374673,-0.0008157557394241621,-0.001818181818181941,-0.0012940795858945586,-0.0010860406985034488,-0.0009561787620035448,-0.0007241129616220032,-0.001118403625982145,-0.001400560224089742,-0.0007309941520468044,-0.0007871324971531423,-0.0007704625215194101
8,-0.0012886597938144284,-0.0011627906976742208,-0.0006651058848567981,-0.0007564296520423675,-0.00042278160452462464,-0.0005296798493225507,-0.0005467237230631026,-0.0003414341578789947,-0.0010570824524314126,-0.0005174376487634413,-0.00047723584995706947,-0.0005759041695461153,-0.00032425039222831997,-0.0005125201347196962,-0.0008041757292395642,-0.0008967903654092391,-0.001341039855317518,-0.0004650441791969051,-0.0005391924166773918,-0.0006634232640424509,-0.0026109660574412663,-0.0005485463521668343,-0.0012913223140494923,-0.0010737294201861314,-0.0006843011869085425,-0.0006311637080868016,-0.0004881295762146909,-0.0006702745643213381,-0.0008710801393726486,-0.0004899559039687196,-0.0005077782898323719,-0.0005020920502091242
9,-0.0008493290392568013,-0.0008787346221440506,-0.0003099402258135431,-0.00043047783039185106,-0.00021863757816817362,-0.00024278796405299285,-0.0002582762057025345,-0.0001583988189535201,-0.0006192909119059342,-0.00029913251570445887,-0.000249820753751145,-0.0002934395304967641,-0.00017742975265958545,-0.0002650129856361927,-0.00042211903756850244,-0.00033848393047530845,-0.0007363770250369273,-0.00028312570781419133,-0.000270310857486189,-0.00036873156342187574,-0.0018726591760299671,-0.00028925873870016525,-0.0007102272727274039,-0.0006439150032194751,-0.0003068933120351835,-0.0003258921297051298,-0.0002768166089964774,-0.0002715293054179613,-0.0007347538574576928,-0.00036643459142549073,-0.00024382427932501116,-0.0002541778209899758
